β = 0.00
β = 0.10
β = 0.20
β = 0.30
β = 0.40
β = 0.50
0.0 0.9999999999999974 + 0.0im
0.1 0.9940768013478599 - 0.03278460053884712im
0.2 0.9764756597925605 - 0.06466213919325406im
0.3 0.9476954336537144 - 0.09475980319641117im
0.4 0.908546177940649 - 0.12227169365068716im
0.5 0.8601181398802132 - 0.14648840806865712im
0.6 0.8037404096065717 - 0.16682221040630787im
0.7 0.7409311453984895 - 0.18282669627635376im
0.8 0.6733416547307804 - 0.1942101545450233im
0.9 0.6026968511008639 - 0.20084215741286188im
1.0 0.530734711726166 - 0.2027532592608257im
1.1 0.4591473305994528 - 0.20012802936152546im
1.2 0.3895260009312826 - 0.193291965216363im
1.3 0.32331248402535107 - 0.18269311412731737im
1.4 0.2617582477429816 - 0.1688794562160683im
1.5 0.2058930113219022 - 0.15247326206019624im
1.6 0.15650344186122014 - 0.13414372653809564im
1.7 0.11412233987706488 - 0.11457919612202722im
1.8 0.07902815491730433 - 0.09446025295416953im
1.9 0.05125421291096139 - 0.07443480277652423im
2.0 0.030606636587916444 - 0.05509614560119513im
2.1 0.01668961600241866 - 0.03696480069340457im
2.2 0.008936449516143204 - 0.02047462515615971im
2.3 0.006644632383773388 - 0.005963522687873799im
2.4 0.009013220547283148 + 0.006331200091152075im
2.5 0.0151807364303462 + 0.016272995376383024im
2.6 0.024262002054366683 + 0.02382211591265903im
2.7 0.03538246982004881 + 0.029028060114980613im
2.8 0.04770885755320628 + 0.032019065203574254im
2.9 0.060475165340697835 + 0.03298937138281477im
3.0 0.0730034404918168 + 0.03218501569814029im
3.1 0.08471894760197549 + 0.02988890940910882im
3.2 0.0951596786766621 + 0.026405911883232547im
3.3 0.10398039129391963 + 0.022048542999341288im
3.4 0.11095158116568773 + 0.017123881690013318im
3.5 0.11595397237605296 + 0.011922087866335014im
3.6 0.11896924008661114 + 0.006706865875010864im
3.7 0.12006776541572206 + 0.0017080667487140856im
3.8 0.11939426180425311 - 0.0028834900079154954im
3.9 0.11715210985693818 - 0.006919001327029583im
4.0 0.11358719842662825 - 0.010292591809166259im
4.1 0.10897199979099877 - 0.012940347911460481im
4.2 0.10359051305610495 - 0.01483773072051893im
4.3 0.09772459955573286 - 0.01599566341790117im
4.4 0.0916421140015798 - 0.01645561199077053im
4.5 0.0855871120053272 - 0.016283983441219785im
4.6 0.07977229414206749 - 0.01556615661957336im
4.7 0.07437373385812843 - 0.014400439192950424im
4.8 0.06952783514809081 - 0.012892212747450898im
4.9 0.06533037890777237 - 0.011148489273057952im
5.0 0.06183744607820042 - 0.009273058892049385im
5.1 0.05906795206107586 - 0.007362363083751354im
5.2 0.05700749050715625 - 0.005502181991588329im
5.3 0.05561316484438799 - 0.0037651805222919357im
5.4 0.054819081633730636 - 0.0022093173758174537im
5.5 0.054542189383722024 - 0.0008770850516729017im
5.6 0.054688167866333404 + 0.00020448189001688995im
5.7 0.05515710409802215 + 0.001023117931888607im
5.8 0.05584872971793008 + 0.0015800634415452921im
5.9 0.056667038228398546 + 0.0018883462052918113im
6.0 0.057524147235543686 + 0.001970733178601997im
6.1 0.05834331832597551 + 0.0018574788907820038im
6.2 0.059061093612297985 + 0.001583992681750882im
6.3 0.05962855152015756 + 0.0011885381122887818im
6.4 0.06001172356212901 + 0.0007100652559722988im
6.5 0.060191247511365606 + 0.00018626082363565682im
6.6 0.06016135952845293 - 0.0003481168670996385im
6.7 0.05992834785907052 - 0.0008625703652361781im
6.8 0.05950860339004044 - 0.0013318350578225343im
6.9 0.05892640765352082 - 0.0017364820749932014im
7.0 0.05821159713406165 - 0.002063161755961508im
7.1 0.05739723457636518 - 0.0023045135846585223im
7.2 0.05651740428159395 - 0.002458782267227206im
7.3 0.05560523019080046 - 0.0025291903963368884im
7.4 0.054691194099445326 - 0.002523125605574123im
7.5 0.05380180791188219 - 0.002451204107599165im
7.6 0.05295866972805513 - 0.0023262730508379443im
7.7 0.052177910028203794 - 0.0021624114073132755im
7.8 0.05147001248141789 - 0.0019739834730484527im
7.9 0.050839975007161926 - 0.0017747910083388374im
8.0 0.050287761551555635 - 0.001577360124510105im
8.1 0.049808984239650356 - 0.0013923878759544896im
8.2 0.049395749318055855 - 0.0012283620273371505im
8.3 0.049037598252029434 - 0.0010913565521383753im
8.4 0.04872247708309275 - 0.000984995323367528im
8.5 0.04843767266790402 - 0.0009105674701010079im

Intel MKL ERROR: Parameter 4 was incorrect on entry to DLASCL.
8.6 0.04817066310224347 - 0.0008672707360204743im
8.7 0.04790984036475247 - 0.0008525537668791186im
8.8 0.04764507538317508 - 0.0008625258184603576im
8.9 0.04736810829517202 - 0.0008924045818606947im
9.0 0.04707275856973381 - 0.0009369748657642109im
9.1 0.04675495751165854 - 0.0009910282635261275im
9.2 0.04641262115562761 - 0.001049753145345591im
9.3 0.04604539586012973 - 0.0011090507118553436im
9.4 0.04565430595499542 - 0.001165762674295536im
9.5 0.045241338084886985 - 0.0012178040783880919im
9.6 0.04480900100036915 - 0.0012642007250837544im
9.7 0.044359894870747235 - 0.0013050360245329233im
9.8 0.04389632090782994 - 0.0013413181568172313im
9.9 0.043419956085336914 - 0.0013747848593366465im
10.0 0.04293159628741211 - 0.0014076681809056571im
10.1 0.042430967307456505 - 0.0014424427120298153im
10.2 0.041916652569887136 - 0.001481582807471419im
10.3 0.041386374088527245 - 0.0015273663305398247im
10.4 0.040837321363478535 - 0.0015817007061795494im
10.5 0.040265772476146766 - 0.0016459105649810517im
10.6 0.039666936261560905 - 0.0017206535830045632im
10.7 0.03903548207729798 - 0.0018059331685653524im
10.8 0.03836584368251441 - 0.0019011256377821182im
10.9 0.03765216326317293 - 0.002005026418335798im
11.0 0.03688856756832548 - 0.002115951873718255im
11.1 0.036069919451663685 - 0.0022319059202934527im
11.2 0.035191843436716067 - 0.002350634169824106im
11.3 0.034250648527375756 - 0.0024696968824655125im
11.4 0.033244644627030535 - 0.0025867526358819603im
11.5 0.03217377236747877 - 0.0026994747202872195im
11.6 0.031037232709372795 - 0.002805232411747365im
11.7 0.029832985602318826 - 0.0029010533550673148im
11.8 0.028559534237507705 - 0.0029838415910219507im
11.9 0.027218207088102703 - 0.003050780835081517im
12.0 0.025813234719183478 - 0.003099639569596712im
12.1 0.0243501265276224 - 0.003128709491604157im
12.2 0.022834826090736938 - 0.003136751120062837im
12.3 0.021273545597576462 - 0.003123041381031321im
12.4 0.01967359855238902 - 0.003087344606739274im
12.5 0.01804449087503796 - 0.0030298724588577897im
12.6 0.016398115969244162 - 0.0029512989300362396im
12.7 0.014748896793328744 - 0.0028529374591330977im
12.8 0.013113764990462433 - 0.0027369837591938308im
12.9 0.011511476730371424 - 0.0026066444880126615im
13.0 0.009961473896808383 - 0.0024660645167666967im
13.1 0.008482580931265672 - 0.002320057896413833im
13.2 0.007091814223576355 - 0.002173728045456339im
13.3 0.005803597316238128 - 0.002032078141946316im
13.4 0.004629375380782187 - 0.0018996822396131821im
13.5 0.003577405127502013 - 0.0017804405540365511im
13.6 0.002652607145702691 - 0.0016774008834305571im
13.7 0.0018565215191967321 - 0.0015926249503081349im
13.8 0.0011874270629721596 - 0.0015270962211304103im
13.9 0.0006406285145768638 - 0.0014806797210991666im
