β = 0.10
β = 0.20
β = 0.30
β = 0.40
β = 0.50
0.0 1.0000000000000389 + 0.0im
0.1 0.9942522765849999 - 0.02712837955235036im
0.2 0.9771711064660503 - 0.05350721151505762im
0.3 0.9492362971586015 - 0.07841514023100028im
0.4 0.9112271739799207 - 0.1011858987184801im
0.5 0.8641930448287503 - 0.12123268515315508im
0.6 0.8094137858168922 - 0.13806892984359426im
0.7 0.7483523551352099 - 0.15132455647222476im
0.8 0.6826013858021447 - 0.16075707961509536im
0.9 0.6138262367336176 - 0.16625714940048417im
1.0 0.5437069858214936 - 0.16784843744711037im
1.1 0.47388182623459263 - 0.16568203925070346im
1.2 0.4058941828877831 - 0.16002583102512694im
1.3 0.3411456120978301 - 0.15124944930516046im
1.4 0.280856201291088 - 0.1398057475334305im
1.5 0.22603377045860315 - 0.1262097170117468im
1.6 0.17745271660007245 - 0.11101593499294787im
1.7 0.13564286506765752 - 0.094795618964097im
1.8 0.10088822184631127 - 0.07811432617426194im
1.9 0.07323508348426726 - 0.06151124562377501im
2.0 0.052508576010469196 - 0.04548089662236855im
2.1 0.0383363806957667 - 0.030457880725676185im
2.2 0.03017816766202363 - 0.01680514610399896im
2.3 0.027359112105245394 - 0.0048060262353772695im
2.4 0.029105808016940533 + 0.005339880646383273im
2.5 0.03458291740381587 + 0.013517109670234617im
2.6 0.04292899423207688 + 0.01969128474664945im
2.7 0.053290086530848595 + 0.023903047704398772im
2.8 0.06484993517738288 + 0.026259480163618835im
2.9 0.0768558396974322 + 0.026923607125102153im
3.0 0.08863953256930673 + 0.026102603373099255im
3.1 0.099632678796581 + 0.02403532834865283im
3.2 0.1093768857104234 + 0.020979782782410753im
3.3 0.11752835510777987 + 0.01720102943823059im
3.4 0.12385752498132713 + 0.012960044147438532im
3.5 0.12824422847919656 + 0.008503877211420954im
3.6 0.13066903340603037 + 0.004057407327912075im
3.7 0.13120152131918256 - 0.00018312864420864076im
3.8 0.12998631242046654 - 0.00405474220572231im
3.9 0.12722765585359552 - 0.007430440668841139im
4.0 0.12317337458764521 - 0.01022019735685284im
4.1 0.11809889860572564 - 0.012370295867273392im
4.2 0.11229203399619428 - 0.013861251940082628im
4.3 0.10603901730403614 - 0.014704553792273957im
4.4 0.09961228725251314 - 0.014938487914934089im
4.5 0.09326028905633305 - 0.014623322344261103im
4.6 0.0871995057442414 - 0.013836119919802058im
4.7 0.08160879750152042 - 0.012665438445768484im
4.8 0.07662602517013313 - 0.011206149727589754im
4.9 0.07234684097381058 - 0.009554580991114545im
5.0 0.068825452565985 - 0.00780414592137116im
5.1 0.06607710660523683 - 0.006041594931286242im
5.2 0.06408199090874743 - 0.004343973406486804im
5.3 0.06279023125152408 - 0.002776340717853337im
5.4 0.06212764387552032 - 0.001390263511176793im
5.5 0.06200191188415 - 0.00022306515979301318im
5.6 0.06230886875669736 + 0.0007022169077164618im
5.7 0.0629386018528983 + 0.0013762383535990538im
5.8 0.06378112558387111 + 0.0018022116985999632im
5.9 0.06473141839927372 + 0.001994331373588799im
6.0 0.06569366619132433 + 0.0019758750273433986im
6.1 0.06658460526280256 + 0.0017770969384976966im
6.2 0.06733590852236268 + 0.0014330285834453468im
6.3 0.06789560643964868 + 0.000981294327371667im
6.4 0.06822857913941896 + 0.00046003967545916324im
6.5 0.06831619388669541 - 9.394420857042243e-5im
6.6 0.0681551948608958 - 0.0006468326955402118im
6.7 0.06775597612578739 - 0.001169067008357325im
6.8 0.0671403849625456 - 0.0016363103759258705im
6.9 0.06633921105772914 - 0.0020300488451973965im
7.0 0.06538951677096938 - 0.0023378429099331372im
7.1 0.06433195703105016 - 0.0025532517477583573im
7.2 0.0632082229408498 - 0.0026754660291705952im
7.3 0.06205872488106089 - 0.0027086961002650133im
7.4 0.060920606946532965 - 0.002661370648933027im
7.5 0.059826159567947734 - 0.002545205109988583im
7.6 0.058801669725715607 - 0.0023742008748129004im
7.7 0.05786672158331915 - 0.002163633498034825im
7.8 0.057033936731112275 - 0.0019290842617531625im
7.9 0.05630912024358964 - 0.0016855623292788182im
8.0 0.05569176008126251 - 0.0014467546667164533im
8.1 0.05517581465263802 - 0.0012244307178129706im
8.2 0.054750713739926044 - 0.0010280179517536698im
8.3 0.05440249326001863 - 0.0008643539650562341im
8.4 0.054114986988665056 - 0.0007376105159534099im
8.5 0.05387100211217698 - 0.0006493740611418451im
8.6 0.05365341647085144 - 0.0005988617594315355im
8.7 0.05344614136288452 - 0.0005832456201799677im
8.8 0.053234914030416386 - 0.0005980560018523886im
8.9 0.05300788926729667 - 0.0006376343186566325im
9.0 0.05275601898522239 - 0.0006955979630517168im
9.1 0.052473225055609536 - 0.0007652946954967991im
9.2 0.05215638421891156 - 0.0008402254469961113im
9.3 0.05180513848535629 - 0.0009144019267504082im
9.4 0.05142156713169359 - 0.0009826294453277322im
9.5 0.05100975600624308 - 0.0010407110348877712im
9.6 0.0505752969512924 - 0.0010855689074608537im
9.7 0.05012476936440899 - 0.0011152855716676342im
9.8 0.049665226375749195 - 0.0011290688978854175im
9.9 0.049203725501066664 - 0.001127147918393866im
10.0 0.04874691793134183 - 0.00111061682322248im
10.1 0.04830071698635312 - 0.0010812604835647103im
10.2 0.04787006048093163 - 0.0010413648142134136im
10.3 0.04745877064178964 - 0.0009935236570589585im
10.4 0.04706947910397277 - 0.0009404498664795961im
10.5 0.046703652119260405 - 0.0008847894608791431im
10.6 0.046361671611597814 - 0.0008289676638219284im
10.7 0.046042978958165816 - 0.0007750497127406058im
10.8 0.04574626872613485 - 0.0007246671027465032im
10.9 0.045469700120496 - 0.0006790089306344942im
11.0 0.04521111199991505 - 0.0006388208294615056im
11.1 0.04496820488221505 - 0.000604414691105482im
11.2 0.044738711913245 - 0.0005757155226218475im
11.3 0.04452053180235603 - 0.0005523437463201559im
11.4 0.0443118210528447 - 0.0005337045786226822im
11.5 0.04411102985861756 - 0.0005190618306989095im
11.6 0.043916885380595225 - 0.0005076099193648802im
11.7 0.043728337015318086 - 0.0004985772810655681im
11.8 0.04354449172869543 - 0.0004912997596136595im
11.9 0.043364584399238945 - 0.00048521904679763484im
12.0 0.04318790129688842 - 0.000479893794710692im
12.1 0.04301369787033009 - 0.00047508066936070734im
12.2 0.04284115175531819 - 0.00047070341333599016im
12.3 0.04266925972267912 - 0.0004668652123811902im
12.4 0.042496794482348804 - 0.000463785729492418im
12.5 0.042322365977816565 - 0.00046176361981225037im
12.6 0.042144463267464585 - 0.00046110761227493116im
12.7 0.041961507868466044 - 0.00046211142169104273im
12.8 0.041771906941541995 - 0.0004649969114085523im
12.9 0.041574159434501365 - 0.0004698564981868534im
13.0 0.04136704333475784 - 0.00047659989302587473im
13.1 0.04114973899058107 - 0.0004849930965393548im
13.2 0.04092191743533302 - 0.0004946718525923551im
13.3 0.04068377115803133 - 0.0005051290187980357im
13.4 0.04043608622704164 - 0.0005157116536297015im
13.5 0.040180369896457596 - 0.0005256635145558881im
13.6 0.03991884126725409 - 0.0005342031677550164im
13.7 0.03965422698083275 - 0.0005406014155500505im
13.8 0.039389617295244275 - 0.0005442702572079284im
13.9 0.0391283872890466 - 0.0005448023833427716im
14.0 0.038874034276104016 - 0.0005419455439194064im
14.1 0.03863000067827918 - 0.0005356124192218148im
14.2 0.03839948189548738 - 0.0005259629837692894im
14.3 0.03818526858068326 - 0.0005133990568178624im
14.4 0.0379894953796366 - 0.0004984574069980272im
14.5 0.03781349590913384 - 0.0004817933646851164im
14.6 0.03765768857675589 - 0.00046421960728165257im
14.7 0.03752152819683578 - 0.0004466456960887467im
14.8 0.03740358401263598 - 0.00042992215415525985im
14.9 0.037301567183393634 - 0.0004147694772483424im
15.0 0.037212419169988645 - 0.00040178458777001324im
15.1 0.03713249793724494 - 0.0003913927747609306im
15.2 0.03705777014920188 - 0.0003838095107249099im
15.3 0.03698411880044074 - 0.00037901813708365965im
15.4 0.0369076782827301 - 0.00037673571556259497im
15.5 0.036824944198282125 - 0.00037638543516859736im
15.6 0.03673287276330574 - 0.00037718286960753365im
15.7 0.036629118547008704 - 0.00037821282463524795im
15.8 0.03651234774519327 - 0.00037855084075864886im
15.9 0.03638228354139153 - 0.00037736488494472507im
16.0 0.03623967588328279 - 0.0003739855494502132im
16.1 0.036086291630016844 - 0.0003679689667777858im
16.2 0.03592467626144537 - 0.0003590186665387091im
16.3 0.03575790543700308 - 0.000347097482563303im
16.4 0.03558944945006405 - 0.0003325150866755895im
16.5 0.03542301534405498 - 0.0003158669724454751im
16.6 0.035262269764801096 - 0.0002979693286102279im
16.7 0.03511051579273021 - 0.000279924100236068im
16.8 0.03497053655528132 - 0.00026295919924442814im
16.9 0.0348444114237586 - 0.0002483003941503069im
17.0 0.034733299086159755 - 0.00023703014392179627im
17.1 0.03463745447973263 - 0.00023010209500502797im
17.2 0.034556273098895945 - 0.0002282824045899406im
17.3 0.034488339124952166 - 0.00023208012640937322im
17.4 0.03443166226985044 - 0.00024151959030203999im
17.5 0.03438373595699616 - 0.000256167828551031im
17.6 0.034341675363047074 - 0.0002753486395782104im
17.7 0.03430247562692526 - 0.00029818573029269895im
17.8 0.03426322173738069 - 0.0003235340428100669im
17.9 0.03422130682925026 - 0.0003499286718939581im
18.0 0.03417452935014023 - 0.0003757520489719048im
18.1 0.03412125621424755 - 0.0003994289145098437im
18.2 0.03406053510092346 - 0.0004193746265540446im
18.3 0.033991974355301637 - 0.0004342591816370376im
18.4 0.03391572441905433 - 0.00044311026274478625im
18.5 0.03383239562554237 - 0.0004453318371345136im
18.6 0.0337430156198817 - 0.0004407026035460459im
18.7 0.03364898311430363 - 0.00042930187804128246im
18.8 0.03355174084091697 - 0.00041148794555332833im
18.9 0.03345273270346176 - 0.0003879783370443063im
19.0 0.03335338465779893 - 0.0003597916967463477im
